image,time
inputs\img1.jpg,13.69999361038208
inputs\img10.jpg,2.657233953475952
inputs\img11.jpg,3.947934627532959
inputs\img12.jpg,2.199040174484253
inputs\img13.jpg,5.482855319976807
inputs\img14.jpg,3.6402151584625244
inputs\img15.jpg,2.667728900909424
inputs\img16.jpg,1.87117338180542
inputs\img17.jpg,1.9259791374206543
inputs\img18.jpg,3.1924021244049072
inputs\img2.jpg,21.978628396987915
inputs\img20.jpg,3.863417148590088
inputs\img21.jpg,2.0583362579345703
inputs\img22.jpg,2.1032567024230957
inputs\img3.jpg,6.0939061641693115
inputs\img4.jpg,4.522218942642212
inputs\img5.jpg,6.422451496124268
inputs\img6.jpg,1.0165789127349854
inputs\img7.jpg,1.6757099628448486
inputs\img8.jpg,2.461369514465332
inputs\img9.jpg,1.743241310119629
inputs\scanned-form.jpg,6.647622585296631
